Month,Retailer,StoreType,State,Region,Category,TY AUR,Units
2018 Apr,AAFES,B&M,AE,OTHER,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,AE,OTHER,PANT/CAPRI,,46 
2018 Apr,AAFES,B&M,AK,NORTHWEST,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,AK,NORTHWEST,PANT/CAPRI,,116 
2018 Apr,AAFES,B&M,AL,SOUTHEAST,PANT/CAPRI,,54 
2018 Apr,AAFES,B&M,AR,SOUTH CENTRAL,PANT/CAPRI,,10 
2018 Apr,AAFES,B&M,AZ,WEST,PANT/CAPRI,,96 
2018 Apr,AAFES,B&M,BE,OTHER,PANT/CAPRI,,2 
2018 Apr,AAFES,B&M,CA,WEST,PANT/CAPRI,,124 
2018 Apr,AAFES,B&M,CO,WEST,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,CO,WEST,PANT/CAPRI,,124 
2018 Apr,AAFES,B&M,DC,MIDATLANTIC,PANT/CAPRI,,36 
2018 Apr,AAFES,B&M,DE,MIDATLANTIC,PANT/CAPRI,,6 
2018 Apr,AAFES,B&M,FL,SOUTHEAST,PANT/CAPRI,,112 
2018 Apr,AAFES,B&M,GA,SOUTHEAST,PANT/CAPRI,,154 
2018 Apr,AAFES,B&M,GE,OTHER,JACKET/VEST,,6 
2018 Apr,AAFES,B&M,GE,OTHER,PANT/CAPRI,,294 
2018 Apr,AAFES,B&M,GU,OTHER,PANT/CAPRI,,0 
2018 Apr,AAFES,B&M,HI,WEST,PANT/CAPRI,,4 
2018 Apr,AAFES,B&M,ID,NORTHWEST,PANT/CAPRI,,4 
2018 Apr,AAFES,B&M,IL,NORTH CENTRAL,PANT/CAPRI,,30 
2018 Apr,AAFES,B&M,IN,NORTH CENTRAL,PANT/CAPRI,,8 
2018 Apr,AAFES,B&M,IQ,OTHER,JACKET/VEST,,8 
2018 Apr,AAFES,B&M,IQ,OTHER,PANT/CAPRI,,120 
2018 Apr,AAFES,B&M,IT,OTHER,PANT/CAPRI,,10 
2018 Apr,AAFES,B&M,JA,OTHER,JACKET/VEST,,14 
2018 Apr,AAFES,B&M,JA,OTHER,PANT/CAPRI,,204 
2018 Apr,AAFES,B&M,KO,OTHER,DAYPACK,,0 
2018 Apr,AAFES,B&M,KO,OTHER,JACKET/VEST,,4 
2018 Apr,AAFES,B&M,KO,OTHER,PANT/CAPRI,,126 
2018 Apr,AAFES,B&M,KS,NORTH CENTRAL,PANT/CAPRI,,48 
2018 Apr,AAFES,B&M,KU,OTHER,PANT/CAPRI,,24 
2018 Apr,AAFES,B&M,KY,SOUTHEAST,JACKET/VEST,,2 
2018 Apr,AAFES,B&M,KY,SOUTHEAST,PANT/CAPRI,,62 
2018 Apr,AAFES,B&M,LA,SOUTH CENTRAL,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,LA,SOUTH CENTRAL,PANT/CAPRI,,44 
2018 Apr,AAFES,B&M,MA,NORTHEAST,PANT/CAPRI,,12 
2018 Apr,AAFES,B&M,MD,MIDATLANTIC,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,MD,MIDATLANTIC,PANT/CAPRI,,68 
2018 Apr,AAFES,B&M,MI,NORTH CENTRAL,PANT/CAPRI,,6 
2018 Apr,AAFES,B&M,MO,NORTH CENTRAL,PANT/CAPRI,,48 
2018 Apr,AAFES,B&M,MS,SOUTHEAST,PANT/CAPRI,,26 
2018 Apr,AAFES,B&M,MT,NORTHWEST,PANT/CAPRI,,6 
2018 Apr,AAFES,B&M,NC,SOUTHEAST,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,NC,SOUTHEAST,PANT/CAPRI,,110 
2018 Apr,AAFES,B&M,ND,NORTH CENTRAL,PANT/CAPRI,,26 
2018 Apr,AAFES,B&M,NE,NORTH CENTRAL,PANT/CAPRI,,6 
2018 Apr,AAFES,B&M,NJ,MIDATLANTIC,PANT/CAPRI,,40 
2018 Apr,AAFES,B&M,NL,OTHER,PANT/CAPRI,,4 
2018 Apr,AAFES,B&M,NM,WEST,PANT/CAPRI,,28 
2018 Apr,AAFES,B&M,NV,WEST,JACKET/VEST,,0 
2018 Apr,AAFES,B&M,NV,WEST,PANT/CAPRI,,54 
2018 Apr,AAFES,B&M,NY,NORTHEAST,PANT/CAPRI,,22 
2018 Apr,AAFES,B&M,OH,NORTH CENTRAL,PANT/CAPRI,,32 
2018 Apr,AAFES,B&M,OK,SOUTH CENTRAL,PANT/CAPRI,,50 
